,Gender,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Material_2,Material_3,Feature_1,Feature_2,Feature_3,Feature_4,Material_4,Feature_5,Feature_6,Material_5,Feature_7,Material_6,Feature_8,Feature_9
48,women,2019-01-06,49,ODODOS High Waist Yoga Pants Tummy Control Workout Running 4 Way Stretch Yoga Leggings With Hidden Pocket,ododos,17.98,https://www.amazon.com/ODODOS-Control-Workout-Running-Leggings/dp/B077GMTKV9,all/any Spandex,Polyamide(Nylon) Blended,Polyester Blended,抗菌功能,單向導溼快乾,四面彈,,,,,,,,,
49,women,2019-01-06,50,Witkey Printed Extra Long Women Yoga Leggings High Waist Tummy Control Over The Heel Yoga Pants,witkey,15.99,https://www.amazon.com/Witkey-Printed-Women-Leggings-Control/dp/B07C8GJ8MH,,,,提升運動效能設計,涼爽透氣,單向導溼快乾,,,,,,,,,
50,women,2019-01-06,51,"TSLA Shorts 7"" Bike Running Yoga w Hidden Pockets FYS11/FYS14/FYP11",tesla,12.98,https://www.amazon.com/TSLA-Shorts-Running-Hidden-Pockets/dp/B07MDK5LWG,all/any Spandex,Polyester Blended,,涼爽透氣,單向導溼快乾,,,,,,,,,,
51,women,2019-01-06,52,"Heathyoga Yoga Pants High Waist Leggings for Workout Running & Yoga, Super Soft and Non See-Through Fabric",heathyoga,19.45,https://www.amazon.com/Heathyoga-Leggings-Workout-Running-See-Through/dp/B07DKDQPM3,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,涼爽透氣,,,,,,,,,,,
52,women,2019-01-06,53,CodeFit Yoga Power Flex Dry-Fit Pants Workout Printed Leggings Ombte Print XS-3XL,codefit,17.45,https://www.amazon.com/CodeFit-Dry-Fit-Workout-Printed-Leggings/dp/B07F2T8VYW,all/any Spandex,Polyamide(Nylon) Blended,,舒適平滑縫合,四面彈,,,,,,,,,,
53,women,2019-01-06,54,"NIRLON Yoga Pants Women Best Leggings 28"" Inseam Length Regular & Plus Size",nirlon,11.99,https://www.amazon.com/NIRLON-Leggings-Inseam-Length-Regular/dp/B079P8W42X,all/any Spandex,Cotton Blended,Polyester Blended,提升運動效能設計,涼爽透氣,保暖禦寒,,Spandex <= 10%,,,,,,,
54,women,2019-01-06,55,Colorfulkoala Women's Brushed Buttery Soft High Waisted Leggings Full Length Yoga Pants,colorfulkoala,28.99,https://www.amazon.com/Colorfulkoala-Brushed-Buttery-Waisted-Leggings/dp/B07KPDKRBV,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,一體成型,,,,,,,,,,,
55,women,2019-01-06,56,Women Weight Loss Hot Neoprene Sauna Sweat Pants with Side Pocket Workout Thighs Slimming Capris Leggings Body Shaper,traininggirl,19.99,https://www.amazon.com/Weight-Neoprene-Workout-Slimming-Leggings/dp/B07DLW1S41,Polyester Blended,,,單向導溼快乾,蒸發性涼感,提升運動效能設計,舒適伸展,,,,,,,,
56,women,2019-01-06,57,MYoga Women's Yoga Pants Workout Running Capri Leggings Active Pants w Side Pockets,myoga,10.99,https://www.amazon.com/MYoga-Workout-Running-Leggings-Pockets/dp/B07C4LQFRN,all/any Spandex,Polyester Blended,,四面彈,,,,,,,,,,,
57,women,2019-01-06,58,Cuddl Duds ClimateRight Women's Stretch Fleece Warm Underwear Leggings/Pants,cuddlduds,46.03,https://www.amazon.com/Cuddl-Duds-ClimateRight-Underwear-Leggings/dp/B077T671HN,all/any Spandex,Polyester Blended,Spandex <= 10%,刷毛布,保暖禦寒,,,,,,,,,,
58,women,2019-01-06,59,"Baleaf Women's Yoga Workout Leggings Side Pocket for 5.5"" Mobile Phone",baleaf,21.99,https://www.amazon.com/Baleaf-Womens-Workout-Leggings-Pocket/dp/B07BXFCVGF,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,蒸發性涼感,涼爽透氣,單向導溼快乾,,Polyester Blended,,,,,,,
59,women,2019-01-06,60,90 Degree By Reflex - High Waist Cotton Power Flex Leggings - Tummy Control,90degreebyreflex,27.49,https://www.amazon.com/90-Degree-Reflex-Leggings-Control/dp/B07M8DHZMK,Cotton Blended,,,,,,,,,,,,,,
60,women,2019-01-06,61,Ewedoos Yoga Pants Women Leggings with Pockets High Waist Tummy Control Workout Pants for Women,ewedoos,18.48,https://www.amazon.com/Ewedoos-Leggings-Pockets-Control-Workout/dp/B07H2YP424,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,涼爽透氣,單向導溼快乾,四面彈,,,,,,,,,
61,women,2019-01-06,62,"KAYVEN MAS Mesh Leggings, High Waist Yoga Pants Tummy Control Workout Running 4 Way Stretch Pocket Leggings",kayvenmas,12.99,https://www.amazon.com/KAYVEN-MAS-Leggings-Control-Workout/dp/B07FP4PHCC,,,,提升運動效能設計,單向導溼快乾,保暖禦寒,結構性透氣,,四面彈,舒適伸展,,,,,
62,women,2019-01-06,63,RION Active Women's Workout Pants Yoga Running Compression Tights Tummy Control Leggings,rion,16.49,https://www.amazon.com/RION-Workout-Running-Compression-Leggings/dp/B078SJ7RKC,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,提升運動效能設計,四面彈,,,Polyester Blended,,,,,,,
63,women,2019-01-06,64,Roseate Men's Body Shaper Hot Sweat Workout Tank Top Slimming Neoprene Vest for Weight Loss Tummy Fat Burner,roseate,19.99,https://www.amazon.com/Roseate-Shaper-Workout-Slimming-Neoprene/dp/B07BMQVWF3,Polyester Blended,Polyamide(Nylon) Blended,,單向導溼快乾,舒適伸展,提升運動效能設計,,,,,,,,,
64,women,2019-01-06,65,WANNEW High Waist Yoga Leggings for Women Tummy Control Workout Capri Legging,wannew,0,https://www.amazon.com/WANNEW-Leggings-Control-Workout-Legging/dp/B07HVTGQC8,all/any Spandex,Wool Blended,Polyester Blended,蒸發性涼感,涼爽透氣,單向導溼快乾,四面彈,,,,,,,,
65,women,2019-01-06,66,Women's High Waist Active Energy Leggings Slimming Seamless Compression Fit Pants Workout Tights Tummy Control,seasum,15.99,https://www.amazon.com/Leggings-Slimming-Seamless-Compression-Workout/dp/B07H8VRJSK,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,一體成型,結構性透氣,羽絨,,保暖禦寒,舒適伸展,,,,,
66,women,2019-01-06,67,Prolific Health High Compression Women Gym Pants Yoga Fitness Leggings Capri,prolifichealth,23.45,https://www.amazon.com/Prolific-Health-Compression-Fitness-Leggings/dp/B01M0L8SP0,,,,提升運動效能設計,,,,,,,,,,,
67,women,2019-01-06,68,FIRM ABS Women's Yoga Capris Tummy Control Running Yoga Workout Leggings Pants Hidden Pocket,firmabs,13.99,https://www.amazon.com/FIRM-ABS-Control-Running-Leggings/dp/B0761QW3K3,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,涼爽透氣,單向導溼快乾,四面彈,,Polyester Blended,,,,,,,
68,women,2019-01-06,69,RUNNING GIRL Ombre Yoga Pants Ultrasoft Performance Active Stretch High Waisted Running Leggings,runninggirl,19.49,https://www.amazon.com/RUNNING-GIRL-Ultrasoft-Performance-Leggings/dp/B07CF7BYF6,all/any Spandex,Polyamide(Nylon) Blended,Polyester Blended,提升運動效能設計,涼爽透氣,單向導溼快乾,四面彈,Spandex <= 10%,,,,,,,
69,women,2019-01-06,70,Colorfulkoala Women's Buttery Soft High Waisted Yoga Pants 7/8 Length Leggings,colorfulkoala,22.49,https://www.amazon.com/Colorfulkoala-Womens-Buttery-Waisted-Leggings/dp/B07JWJF35V,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,提升運動效能設計,一體成型,舒適平滑縫合,,,,,,,,,
70,women,2019-01-06,71,ASNUG High Waist Yoga Pants for Women Tummy Control Workout Ruched Butt Lifting Stretchy Leggings,asnug,11.45,https://www.amazon.com/ASNUG-Control-Workout-Stretchy-Leggings/dp/B07HCFK14S,Acrylic Blended,all/any Spandex,Polyester Blended,Athleisure,羽絨,保暖禦寒,單向導溼快乾,,,,,,,,
71,women,2019-01-06,72,Queenie Ke Women Yoga Legging Power Flex High Waist Running Pants Workout Tights,queenieke,22.13,https://www.amazon.com/Queenie-Ke-Legging-Running-Workout/dp/B078JK81NQ,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,單向導溼快乾,四面彈,,,Polyester Blended,,,,,,,
72,women,2019-01-06,73,NIRLON Capri Yoga Pants Capri's for Women Best Cropped Leggings Athletic Running Jogging Workout & Sport Cotton Spandex,nirlon,11.49,https://www.amazon.com/NIRLON-Cropped-Leggings-Athletic-Running/dp/B07CL7MTM8,all/any Spandex,Cotton Blended,Polyester Blended,提升運動效能設計,涼爽透氣,保暖禦寒,,Spandex <= 10%,,,,,,,
73,women,2019-01-06,74,"TSLA Yoga 17"" Capri Mid-Waist Pants w Hidden Pocket FYC21/FYC24/FYP21",tesla,11.98,https://www.amazon.com/TSLA-Capri-Mid-Waist-Hidden-Pocket/dp/B07MR72N5B,all/any Spandex,Polyester Blended,,涼爽透氣,單向導溼快乾,,,,,,,,,,
74,women,2019-01-06,75,Mint Lilac Women's High Waist Workout Yoga Pants Athletic Tummy Control Leggings,mintlilac,19.99,https://www.amazon.com/Mint-Lilac-Workout-Athletic-Leggings/dp/B07KK9P465,Spandex >= 21%,all/any Spandex,Polyester Blended,蒸發性涼感,涼爽透氣,四面彈,單向導溼快乾,,舒適平滑縫合,舒適伸展,,,,,
75,women,2019-01-06,76,Bamans Women's Yoga Dress Pants Tummy Control Pull On 4 Way Stretch Skinny Slim Leggings,bamans,24.99,https://www.amazon.com/Bamans-Womens-Control-Stretch-Leggings/dp/B07JDMYVR3,Spandex 11~20%,all/any Spandex,Polyester Blended,涼爽透氣,四面彈,,,,,,,,,,
76,women,2019-01-06,77,American Apparel Cotton-Spandex Jersey Legging,americanapparel,56.72,https://www.amazon.com/American-Apparel-Cotton-Spandex-Jersey-Legging/dp/B00Z02QQSI,all/any Spandex,Cotton Blended,Spandex <= 10%,,,,,,,,,,,,
77,women,2019-01-06,78,"CRZ YOGA Women's Hugged Feeling High-Rise 7/8 Tight Workout Running Compression Leggings 25""",crzyoga,0,https://www.amazon.com/CRZ-YOGA-High-Rise-Compression-Leggings/dp/B07G56H5RY,Spandex >= 21%,all/any Spandex,Polyamide(Nylon) Blended,提升運動效能設計,,,,,,,,,,,
78,women,2019-01-06,79,"Baleaf Women's Yoga Workout Capris Leggings Side Pocket for 5.5"" Mobile Phone",baleaf,19.99,https://www.amazon.com/Baleaf-Womens-Workout-Capris-Leggings/dp/B07C1T96CF,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,蒸發性涼感,涼爽透氣,單向導溼快乾,,Polyester Blended,,,,,,,
